object obsid mode pc1 pc1_err pc2 pc2_err hue hue_err hardness hardness_err
4U_0614p09 50031-01-04-13 event 22.8097462816 2.56615591143 0.319407393813 0.0134827388702 147.234257769 3.79475752002 1.2881 0.00277
4U_0614p09 50031-01-04-14 event 23.9631308616 5.15245968681 0.363376798495 0.0297417962236 142.581974031 6.73793794085 1.29855 0.00612
4U_0614p09 50031-01-04-15 event 23.1127229076 7.22031907247 0.351264075175 0.0441176168565 143.912981559 10.6362325199 1.2952 0.00732
4U_0614p09 50031-01-04-16 event 21.181772822 5.09179041784 0.355708221099 0.0330863061731 143.953140516 8.3690948519 1.26609 0.00647
4U_0614p09 50031-01-04-17 event 18.9772257746 4.44491716834 0.386038918067 0.0371241839297 141.423681031 9.05345023527 1.28584 0.0065
4U_0614p09 50031-01-04-18 event 23.1559138968 6.90799294777 0.32255313094 0.0382769463749 146.795918875 10.3697246526 1.29781 0.00785
4U_0614p09 50031-01-05-00 event 21.0034097603 2.09399232841 0.325358271988 0.0121346378207 147.213949307 3.53457254528 1.29006 0.00266
4U_0614p09 50031-01-05-01 event 29.5018197295 7.62265026992 0.296986220796 0.0286767559439 147.729121881 7.54889535002 1.29424 0.00639
4U_0614p09 50031-01-05-02 event 23.693682953 3.22028987855 0.312058303407 0.0158056386929 147.729828036 4.48713022463 1.29188 0.00362
4U_0614p09 50412-01-02-02 event 42.7108296193 8.33849480541 0.153774998031 0.00969479206637 160.72102352 5.39773867207 1.26567 0.00407
4U_0614p09 50412-01-03-00 event 75.5613257896 22.3518649796 0.0817674536792 0.00663112814235 166.316101252 6.74819800625 1.21061 0.00344
4U_0614p09 60424-01-02-00 event 24.2399031733 3.44705336181 0.257729747813 0.0134242720802 153.609429326 4.99126907023 1.28687 0.00356
4U_0614p09 60424-01-02-01 event 26.9621943133 6.03907989575 0.177069295196 0.0151997138214 162.781016928 8.43663025129 1.26093 0.00483
4U_0614p09 70014-04-01-00 event 41.433534145 5.54365488826 0.143062609565 0.00666005871501 162.515406743 3.92524728598 1.24877 0.00303
4U_0614p09 70015-03-01-00 gx1 26.0036942346 5.09597383668 0.349153887354 0.0265142514114 143.514458687 6.0030271954 1.277 0.00474
4U_0614p09 70015-03-01-01 gx1 29.0039612856 5.75926625629 0.330559365303 0.0257271421399 144.667701284 5.85230949588 1.28985 0.00477
4U_0614p09 70015-03-02-00 gx1 24.8961468115 5.41324372505 0.310936622678 0.0258944297062 147.487359862 7.08983089481 1.29085 0.00519
4U_0614p09 80037-01-01-02 event 114.147307981 35.6834636327 0.0282493053588 0.00226399051403 175.688870886 6.58840110647 1.0981 0.00205
4U_0614p09 80037-01-12-00 event 80.9367456625 23.6195395724 0.0562859228379 0.00527300329433 170.879301703 6.93244943164 1.19482 0.00403
4U_0614p09 80414-01-02-01 event 81.7172057513 24.216902005 0.0859691279444 0.00683647698246 164.882780462 6.43889961042 1.2105 0.00341
4U_0614p09 90422-01-03-00 event 42.1378808545 10.4898158367 0.15963537548 0.0142772312858 160.074000088 7.11916443191 1.268 0.00526
4U_0614p09 93404-01-06-00 event 86.6660239036 28.5049610024 0.0338603810999 0.00314920299917 176.303622858 7.65218549472 1.12871 0.00266
4U_1636_m53 10088-01-09-00 event 0.142127857195 0.0239160284254 1.92947212327 0.492267296343 337.706056374 8.5896204454 0.73161 0.00053
4U_1636_m53 10088-01-09-01 event 0.202377363496 0.053871918571 10.5197972111 2.91173736459 0.344431206298 8.10471170344 0.76114 0.00045
4U_1636_m53 40028-01-01-00 event 0.1377547128 0.0254517828511 1.88490107322 0.545878641908 337.195042533 9.69638627609 0.78187 0.00062
4U_1636_m53 40028-01-10-00 event 0.158852625145 0.0520776230444 20.7552781133 6.68489899122 3.78921446663 8.44625702229 0.75183 0.00049
4U_1636_m53 60032-01-23-03 event 0.0345269496722 0.0103271451125 5.95052466502 1.0358375909 342.834869619 4.97465835668 0.94205 0.00151
4U_1636_m53 92023-01-28-10 event 0.00137794641728 0.000533692942574 54.0967878341 13.9446352651 345.565264939 4.16390418406 0.96921 0.00374
4U_1702m43 50030-01-03-00 event 62.8282539499 11.427474131 0.0715928285808 0.00441490786191 170.051077134 4.76052130396 1.19472 0.00233
4U_1702m43 50030-01-04-00 event 54.4856293738 13.5281094828 0.0876755745368 0.00747685652642 168.436166271 6.81945917559 1.2636 0.00314
4U_1702m43 50030-01-05-00 event 67.1462613879 18.9564495266 0.109010545899 0.00984610677757 162.854244127 6.66500584951 1.2683 0.00405
4U_1702m43 50030-01-10-01 event 75.8746474895 17.2558512342 0.0978874492203 0.00693918187134 163.533399953 5.14529861056 1.25311 0.00299
4U_1702m43 50030-01-10-02 event 69.6373422185 16.445654523 0.0945274716094 0.00662776485025 164.83577819 5.53608817062 1.26866 0.00296
4U_1702m43 50030-01-10-03 event 53.1034182983 16.7330402347 0.102276052885 0.01085289503 166.159469812 8.55095905893 1.27006 0.00393
4U_1702m43 50030-01-13-01 event 86.5081365648 23.6705683503 0.0855021843845 0.00659752263639 164.482949023 5.8547963928 1.24095 0.00328
4U_1702m43 50030-01-13-02 event 80.4847903982 24.7639389948 0.0757250941414 0.006465144888 166.869924537 6.92149375167 1.245 0.0034
4U_1702m43 80033-01-01-00 event 72.5482520808 12.8017793747 0.0628521359665 0.00378298571424 170.454308363 4.39369734936 1.22367 0.00211
4U_1702m43 80033-01-01-01 event 78.6327839158 24.3623888534 0.074060170029 0.00644392821382 167.397863002 7.07925829142 1.22566 0.00298
4U_1702m43 80033-01-01-02 event 81.4210550546 20.2764159027 0.0557431108578 0.00409798029066 170.949171385 5.8306926989 1.20457 0.00235
4U_1702m43 80033-01-01-08 event 104.683597404 26.99386425 0.0565168059672 0.00394750124662 168.536807659 5.38522853718 1.2242 0.00209
4U_1702m43 80033-01-17-02 event 87.4385108924 26.6233186964 0.0569460050639 0.00523758279345 170.012327877 6.93871691718 1.18566 0.00313
4U_1702m43 91023-02-09-00 gx1 0.0987081775313 0.0374813106044 0.899405049773 0.200613311086 325.145015116 7.79498319349 0.79236 0.00114
4u_1705_m44 20074-02-02-00 event 61.644093562 16.94616435 0.127981386599 0.010964414222 160.842821447 6.47483231922 1.3237 0.00458
4u_1705_m44 20074-02-03-00 event 0.179256172893 0.0484966898942 0.695334525753 0.125182135442 322.535340046 7.37450565212 0.67081 0.00109
4u_1705_m44 20074-02-05-00 event 0.207251956712 0.0635920574865 0.548750538708 0.0870227872514 318.530412666 6.81027007356 0.66041 0.00098
4u_1705_m44 20074-02-06-00 event 0.165555685273 0.0559777806089 0.439262887872 0.0712276963173 314.438787071 6.47002501618 0.65064 0.00087
4u_1705_m44 20074-02-07-00 event 0.220671680243 0.06493249355 0.164555616476 0.0194864346247 296.432472255 6.05625497343 0.66219 0.00108
4u_1705_m44 40034-01-01-00 event 0.155063741601 0.0299422498498 0.243708896641 0.02186586548 304.55743168 3.65204116855 0.66152 0.0006
4u_1705_m44 40034-01-08-01 event 32.668629342 6.85458728867 0.348515601656 0.0245693354483 142.59640923 4.97027504593 1.36789 0.00487
4u_1705_m44 40034-01-09-01 event 23.1056442252 5.6349735695 0.29101327914 0.026702384186 150.225689227 8.52479386992 1.36654 0.00553
4u_1705_m44 40034-01-09-02 event 27.7764990037 8.12959613275 0.387955588371 0.0448970935282 139.928956653 8.5421376096 1.38081 0.0075
4u_1705_m44 40034-01-09-03 event 27.9776228367 7.1808559612 0.296179535984 0.0253019150073 148.168003799 7.1643823965 1.35818 0.00522
4u_1705_m44 40034-01-09-07 event 23.1011218799 4.84167931422 0.339983993406 0.0297853743374 145.030817707 7.45885515565 1.35443 0.0052
4u_1705_m44 40034-01-09-08 event 33.9864610302 9.75339078208 0.303385243172 0.0295116317453 146.281537669 7.0978775274 1.35816 0.00579
4u_1705_m44 40051-03-08-00 event 78.6327498303 24.9855962835 0.0690945114369 0.00759569828944 168.379442596 7.6153987002 1.27485 0.00521
4u_1705_m44 40051-03-09-00 event 104.270329933 31.8001055322 0.125344850601 0.0100198117439 157.286956918 5.33967699416 1.30542 0.00458
4u_1705_m44 40051-03-10-00 event 74.1878241177 18.5711190306 0.0983169099375 0.00729891413399 163.657253953 5.65069251255 1.28487 0.00406
4u_1705_m44 40051-03-12-00 event 87.2087784174 27.1777206014 0.0667300660746 0.00648494047168 167.926505841 7.03381569552 1.25546 0.00317
4u_1705_m44 70038-01-01-00 binned 0.0683431026419 0.0160684223138 1.20101742551 0.28873268926 328.074466286 7.36239553227 1.16628 0.00149
4u_1705_m44 70038-01-01-01 binned 0.0852544267099 0.0176172147778 1.68512435346 0.227760762694 333.287052217 4.53629462009 1.11801 0.00131
4u_1705_m44 70038-03-02-00 binned 0.152055563277 0.0352794303456 0.296282198901 0.0282810975241 307.838459024 3.82168623765 0.66392 0.00053
4u_1705_m44 93060-01-07-00 event 30.3326057092 7.07055853408 0.257201368185 0.0230571907518 151.601548698 7.21840259749 1.33756 0.00561
4u_1705_m44 93060-01-11-00 event 31.2851907868 7.16078356253 0.229819351109 0.0156667444513 154.369470057 6.40005416681 1.37037 0.00378
